model,split,accuracy,precision,recall,f1
kNN,train,0.9723618090452262,0.9649805447470817,0.992,0.9783037475345168
kNN,val,0.9882352941176471,0.9814814814814815,1.0,0.9906542056074766
kNN,test,0.9302325581395349,0.9,1.0,0.9473684210526315
RandomForest,train,1.0,1.0,1.0,1.0
RandomForest,val,0.9882352941176471,1.0,0.9811320754716981,0.9904761904761905
RandomForest,test,0.8837209302325582,0.8928571428571429,0.9259259259259259,0.9090909090909091
MLP,train,1.0,1.0,1.0,1.0
MLP,val,0.9882352941176471,1.0,0.9811320754716981,0.9904761904761905
MLP,test,0.9651162790697675,0.9811320754716981,0.9629629629629629,0.9719626168224299
